iter	Passed	Remaining
0	4	441
1	6	339
2	10	348
3	12	303
4	15	287
5	21	339
6	30	402
7	35	408
8	43	439
9	62	566
10	70	570
11	71	527
12	73	491
13	74	459
14	77	436
15	78	411
16	80	391
17	82	375
18	83	356
19	84	339
20	85	323
21	87	309
22	88	297
23	90	285
24	91	273
25	92	262
26	93	253
27	94	244
28	95	234
29	96	226
30	97	217
31	98	210
32	99	202
33	100	195
34	101	188
35	102	182
36	103	176
37	104	170
38	105	165
39	110	165
40	111	160
41	111	154
42	112	149
43	113	144
44	114	139
45	115	135
46	116	131
47	117	126
48	118	122
49	119	119
50	119	115
51	125	115
52	126	111
53	127	108
54	127	104
55	128	101
56	129	97
57	130	94
58	131	91
59	132	88
60	133	85
61	134	82
62	135	79
63	139	78
64	140	75
65	141	72
66	142	70
67	143	67
68	144	64
69	145	62
70	146	59
71	147	57
72	148	54
73	148	52
74	150	50
75	155	49
76	156	46
77	157	44
78	158	42
79	159	39
80	161	37
81	162	35
82	163	33
83	164	31
84	166	29
85	169	27
86	170	25
87	170	23
88	171	21
89	172	19
90	173	17
91	174	15
92	175	13
93	176	11
94	177	9
95	178	7
96	179	5
97	180	3
98	181	1
99	182	0
