iter	Passed	Remaining
0	152	152715
1	154	76939
2	155	51787
3	157	39137
4	158	31565
5	159	26493
6	161	22947
7	163	20226
8	164	18115
9	165	16414
10	167	15037
11	168	13886
12	169	12905
13	171	12074
14	172	11350
15	174	10723
16	175	10165
17	177	9667
18	178	9218
19	179	8810
20	181	8440
21	182	8106
22	183	7806
23	185	7531
24	187	7320
25	189	7094
26	190	6871
27	192	6665
28	193	6472
29	194	6295
30	196	6128
31	197	5969
32	200	5884
33	202	5746
34	203	5618
35	205	5495
36	206	5378
37	208	5267
38	209	5159
39	210	5062
40	212	4969
41	216	4930
42	218	4864
43	221	4805
44	222	4722
45	223	4643
46	225	4566
47	226	4492
48	227	4424
49	229	4360
50	230	4295
51	232	4235
52	233	4179
53	235	4125
54	236	4069
55	238	4015
56	239	3962
57	240	3910
58	243	3881
59	244	3834
60	246	3788
61	247	3742
62	248	3700
63	250	3656
64	251	3615
65	252	3578
66	254	3543
67	255	3507
68	257	3472
69	259	3441
70	260	3407
71	261	3373
72	263	3341
73	264	3311
74	265	3280
75	267	3250
76	268	3222
77	271	3213
78	273	3188
79	274	3160
80	276	3133
81	277	3107
82	278	3074
83	279	3049
84	281	3025
85	282	3001
86	283	2977
87	287	2977
88	290	2972
89	292	2955
90	295	2951
91	296	2930
92	298	2910
93	302	2911
94	304	2903
95	307	2895
96	309	2879
97	311	2865
98	312	2845
99	314	2826
100	318	2832
101	320	2821
102	321	2803
103	323	2785
104	324	2768
105	326	2750
106	328	2743
107	330	2726
108	334	2734
109	338	2735
110	339	2719
111	340	2702
112	342	2685
113	343	2668
114	345	2657
115	349	2663
116	350	2646
117	352	2632
118	354	2621
119	356	2613
120	357	2600
121	358	2583
122	360	2569
123	364	2578
124	368	2579
125	370	2566
126	371	2551
127	373	2543
128	374	2531
129	376	2518
130	380	2522
131	383	2520
132	384	2506
133	385	2494
134	387	2481
135	388	2468
136	393	2478
137	395	2470
138	397	2461
139	400	2459
140	402	2452
141	403	2439
142	406	2433
143	411	2444
144	413	2438
145	415	2428
146	417	2423
147	419	2412
148	420	2401
149	421	2390
150	426	2400
151	428	2391
152	430	2380
153	431	2369
154	432	2359
155	435	2354
156	436	2343
157	440	2349
158	442	2340
159	443	2330
160	444	2318
161	446	2308
162	447	2299
163	449	2290
164	454	2298
165	455	2290
166	457	2281
167	458	2272
168	461	2268
169	463	2260
170	464	2251
171	465	2242
172	470	2247
173	472	2243
174	474	2235
175	475	2226
176	477	2218
177	478	2210
178	480	2201
179	481	2193
180	486	2199
181	490	2202
182	496	2218
183	498	2212
184	501	2207
185	503	2202
186	505	2196
187	507	2191
188	513	2203
189	515	2198
190	517	2192
191	519	2187
192	521	2181
193	524	2178
194	535	2210
195	537	2205
196	539	2199
197	549	2227
198	551	2221
199	553	2213
200	554	2205
201	559	2211
202	561	2203
203	562	2194
204	563	2187
205	565	2179
206	566	2171
207	568	2164
208	569	2156
209	573	2156
210	575	2152
211	576	2144
212	578	2137
213	579	2130
214	581	2122
215	582	2115
216	584	2107
217	585	2100
218	590	2106
219	592	2101
220	595	2100
221	597	2092
222	598	2085
223	599	2078
224	601	2070
225	605	2072
226	606	2064
227	608	2058
228	609	2052
229	610	2045
230	612	2038
231	613	2031
232	615	2024
233	616	2017
234	619	2018
235	621	2011
236	622	2004
237	624	1998
238	625	1991
239	626	1984
240	628	1978
241	629	1971
242	630	1964
243	633	1963
244	635	1957
245	636	1950
246	637	1944
247	639	1938
248	640	1932
249	642	1926
250	643	1920
251	644	1914
252	646	1908
253	649	1907
254	650	1901
255	652	1895
256	653	1889
257	654	1883
258	656	1878
259	657	1872
260	659	1866
261	660	1861
262	663	1859
263	664	1853
264	666	1849
265	668	1843
266	669	1838
267	671	1833
268	672	1827
269	674	1822
270	675	1817
271	677	1812
272	679	1809
273	681	1805
274	683	1802
275	685	1797
276	686	1792
277	688	1786
278	689	1781
279	690	1776
280	692	1771
281	693	1765
282	695	1760
283	696	1755
284	697	1750
285	699	1745
286	700	1740
287	701	1735
288	703	1730
289	706	1729
290	707	1723
291	708	1718
292	710	1714
293	711	1709
294	713	1704
295	714	1699
296	716	1695
297	717	1690
298	718	1685
299	722	1684
300	723	1680
301	724	1675
302	726	1670
303	727	1666
304	729	1661
305	730	1657
306	732	1652
307	733	1648
308	736	1648
309	739	1646
310	741	1643
311	742	1638
312	744	1633
313	747	1632
314	748	1627
315	752	1629
316	756	1630
317	758	1626
318	759	1621
319	761	1617
320	762	1613
321	768	1617
322	770	1614
323	773	1612
324	774	1609
325	776	1605
326	777	1601
327	779	1596
328	783	1597
329	785	1595
330	788	1593
331	789	1588
332	791	1586
333	793	1582
334	794	1577
335	798	1578
336	801	1576
337	803	1572
338	804	1568
339	806	1564
340	807	1560
341	810	1558
342	813	1558
343	815	1555
344	819	1555
345	820	1551
346	822	1547
347	823	1542
348	824	1538
349	826	1534
350	829	1534
351	830	1529
352	832	1525
353	833	1521
354	834	1516
355	836	1513
356	837	1509
357	839	1504
358	840	1500
359	855	1520
360	862	1526
361	869	1531
362	871	1529
363	879	1536
364	880	1532
365	882	1528
366	883	1524
367	885	1520
368	886	1516
369	887	1511
370	889	1507
371	892	1506
372	893	1502
373	895	1498
374	896	1494
375	897	1490
376	899	1485
377	900	1481
378	901	1477
379	903	1473
380	904	1469
381	906	1466
382	908	1463
383	910	1459
384	911	1455
385	912	1451
386	913	1447
387	915	1443
388	920	1445
389	928	1452
390	930	1450
391	932	1446
392	936	1446
393	937	1442
394	939	1438
395	940	1434
396	952	1446
397	955	1444
398	956	1441
399	959	1438
400	960	1435
401	962	1431
402	963	1427
403	966	1426
404	968	1422
405	970	1420
406	972	1417
407	974	1413
408	975	1409
409	976	1405
410	978	1401
411	979	1398
412	983	1397
413	986	1395
414	987	1392
415	989	1388
416	990	1384
417	991	1381
418	993	1377
419	1000	1381
420	1006	1384
421	1008	1381
422	1011	1379
423	1017	1382
424	1019	1379
425	1023	1379
426	1025	1376
427	1031	1378
428	1033	1376
429	1039	1377
430	1046	1381
431	1048	1378
432	1051	1376
433	1054	1374
434	1061	1378
435	1062	1374
436	1064	1371
437	1067	1369
438	1068	1365
439	1070	1362
440	1072	1359
441	1078	1361
442	1082	1361
443	1085	1359
444	1091	1361
445	1093	1358
446	1096	1356
447	1098	1353
448	1100	1350
449	1104	1349
450	1106	1347
